"GEOID","NAME","year","Estimate!!Total","Estimate!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 years","Estimate!!Total!!Male!!21 years","Estimate!!Total!!Male!!22 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 39 years","Estimate!!Total!!Male!!40 to 44 years","Estimate!!Total!!Male!!45 to 49 years","Estimate!!Total!!Male!!50 to 54 years","Estimate!!Total!!Male!!55 to 59 years","Estimate!!Total!!Male!!60 and 61 years","Estimate!!Total!!Male!!62 to 64 years","Estimate!!Total!!Male!!65 and 66 years","Estimate!!Total!!Male!!67 to 69 years","Estimate!!Total!!Male!!70 to 74 years","Estimate!!Total!!Male!!75 to 79 years","Estimate!!Total!!Male!!80 to 84 years","Estimate!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 years","Estimate!!Total!!Female!!21 years","Estimate!!Total!!Female!!22 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 39 years","Estimate!!Total!!Female!!40 to 44 years","Estimate!!Total!!Female!!45 to 49 years","Estimate!!Total!!Female!!50 to 54 years","Estimate!!Total!!Female!!55 to 59 years","Estimate!!Total!!Female!!60 and 61 years","Estimate!!Total!!Female!!62 to 64 years","Estimate!!Total!!Female!!65 and 66 years","Estimate!!Total!!Female!!67 to 69 years","Estimate!!Total!!Female!!70 to 74 years","Estimate!!Total!!Female!!75 to 79 years","Estimate!!Total!!Female!!80 to 84 years","Estimate!!Total!!Female!!85 years and over","Estimate!!Total:","Estimate!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 years","Estimate!!Total:!!Male:!!21 years","Estimate!!Total:!!Male:!!22 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 39 years","Estimate!!Total:!!Male:!!40 to 44 years","Estimate!!Total:!!Male:!!45 to 49 years","Estimate!!Total:!!Male:!!50 to 54 years","Estimate!!Total:!!Male:!!55 to 59 years","Estimate!!Total:!!Male:!!60 and 61 years","Estimate!!Total:!!Male:!!62 to 64 years","Estimate!!Total:!!Male:!!65 and 66 years","Estimate!!Total:!!Male:!!67 to 69 years","Estimate!!Total:!!Male:!!70 to 74 years","Estimate!!Total:!!Male:!!75 to 79 years","Estimate!!Total:!!Male:!!80 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 years","Estimate!!Total:!!Female:!!21 years","Estimate!!Total:!!Female:!!22 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 39 years","Estimate!!Total:!!Female:!!40 to 44 years","Estimate!!Total:!!Female:!!45 to 49 years","Estimate!!Total:!!Female:!!50 to 54 years","Estimate!!Total:!!Female:!!55 to 59 years","Estimate!!Total:!!Female:!!60 and 61 years","Estimate!!Total:!!Female:!!62 to 64 years","Estimate!!Total:!!Female:!!65 and 66 years","Estimate!!Total:!!Female:!!67 to 69 years","Estimate!!Total:!!Female:!!70 to 74 years","Estimate!!Total:!!Female:!!75 to 79 years","Estimate!!Total:!!Female:!!80 to 84 years","Estimate!!Total:!!Female:!!85 years and over"
"33","New Hampshire",2018,1356458,669442,32106,33940,39024,24822,20295,9266,8189,27048,45234,41807,39810,37586,44562,49517,54864,20523,28747,17783,23320,29866,18933,11096,11104,687016,30751,34995,37848,24642,22073,8774,8911,23026,40248,40533,39544,38025,44494,51145,56717,24803,27433,17330,23971,34329,23116,14588,19720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","New Jersey",2018,8908520,4350386,262379,266746,291286,172330,110980,52498,57916,170254,297669,287650,287669,283945,293636,307443,307907,119270,160285,90810,118476,162899,113294,67888,67156,4558134,255315,251159,281806,169984,103018,53664,48099,171843,281977,283797,296696,279281,306908,325612,326781,128080,176348,104137,136670,199361,146606,102390,128602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","New Mexico",2018,2095428,1039641,60108,62590,81303,42339,31582,13518,15485,41895,73887,71844,70192,58730,58255,59175,66299,27052,37062,22230,33710,48688,29445,19789,14463,1055787,58386,65205,69775,40531,28265,15404,13242,39319,66264,67158,66223,61116,60630,61868,70187,31176,40883,28960,37503,50118,34503,22799,26272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","New York",2018,19542209,9491313,582392,549859,593855,353670,258428,131501,125795,388761,743566,697952,623049,575808,604513,637975,648337,250160,344585,200421,264177,367469,243585,158540,146915,10050896,557450,529120,560882,337457,252696,124433,127460,396107,737663,693717,644647,590321,633106,681744,679487,287573,386075,222843,311308,445377,329729,235987,285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","North Carolina",2018,10383620,5052244,306886,313027,354622,202542,154468,81583,72886,199414,358241,328021,322897,314933,339179,330888,323481,129271,182043,105110,153773,206125,137038,76283,59533,5331376,290306,307599,325325,196551,147822,70960,62702,194783,363256,332792,340556,332018,357643,350377,354363,138228,215383,127340,171618,250030,170672,111518,119534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","North Dakota",2018,760077,391222,26887,25995,25984,12432,12083,8056,7041,17810,33670,29988,26493,21557,20516,20306,26133,10301,12204,9163,9678,13223,8234,6277,7191,368855,25288,24809,21290,12029,9911,5402,5697,18584,27636,25440,23894,18928,19941,20754,23303,10081,13201,8623,10264,13096,10550,8886,11248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Ohio",2018,11689442,5732095,352425,352250,389572,232253,163849,79008,84421,220388,403401,367915,359729,335380,362584,373181,398728,160914,221220,134119,177870,225176,161262,93045,83405,5957347,340704,338876,362667,221689,155481,81111,74727,212986,397180,364608,361968,339686,369640,382796,417560,173185,241197,148632,197359,269205,202571,138639,164880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Oklahoma",2018,3943079,1950076,132651,133759,140794,80394,60177,31390,32718,73097,141281,130554,130682,118238,116016,113409,126287,47278,65614,38647,53407,77008,49016,31998,25661,1993003,125385,128357,137200,77780,52602,32022,26785,70355,139670,131231,131378,111779,114953,114635,129901,52242,72864,44099,63240,85438,60508,43657,46922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Oregon",2018,4190713,2079943,117907,120346,133273,76355,51654,24800,27470,82926,153533,148292,144236,134221,137518,125569,129941,51887,79235,51774,72087,90042,60534,37643,28700,2110770,112608,116568,120588,74943,49104,28427,25108,76256,146727,144103,144051,134325,131974,124419,137291,58912,86535,55982,79769,97942,68299,44157,52682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Pennsylvania",2018,12807060,6271620,356108,363901,394554,237583,177886,84109,83598,245666,441575,418852,390222,358356,398749,420345,446876,176930,255485,153160,197463,264321,180612,117936,107333,6535440,344308,344262,381273,225628,174524,87303,81580,230150,425450,409196,385062,362473,404865,435582,469873,188303,274064,166429,221819,307967,235776,173246,206307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Rhode Island",2018,1057315,515900,28267,28829,29430,19050,17042,6484,8016,24148,39085,35118,32268,29218,32195,35729,35315,16408,19743,13235,15398,20349,13163,9040,8370,541415,26163,27862,25913,18394,20149,7941,7758,21174,37778,34368,33293,28358,34106,37976,37896,16996,22200,12293,15504,26492,17919,12793,18089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","South Carolina",2018,5084127,2468707,147612,157570,165734,98189,84963,38559,38302,92888,165751,154562,151803,150801,152653,153406,166104,61509,89045,55936,84909,113481,73495,42980,28455,2615420,139744,149970,157864,87726,69602,33670,34063,95316,173967,160075,164949,155810,163831,167119,183249,75355,102612,66761,95201,136774,89967,55478,56317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","South Dakota",2018,882235,445271,31161,30921,32454,16370,14064,6572,5299,16322,33152,29250,28744,24894,23627,26075,29614,10543,18225,11826,12461,18316,10986,6745,7650,436964,29266,27844,29112,17335,12067,7477,4917,18204,28278,25620,26848,24681,23402,24159,29199,12179,18002,11062,13568,17789,12720,9124,14111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Tennessee",2018,6770010,3302191,206896,213478,220734,133678,93096,43477,45100,131113,241098,212039,211526,204900,218230,213828,209457,84555,129728,76181,98292,132552,91020,54452,36761,3467819,197543,199694,214031,123321,89370,44750,41977,130929,243081,218565,221870,208142,227453,224450,235674,94760,136670,78354,113837,159344,111743,75560,76701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Texas",2018,28701845,14250184,1024376,1006694,1119069,626274,430689,213407,207745,607828,1082880,1041834,1005548,952689,914323,842988,819434,321317,427209,245888,331003,438057,282692,176359,131881,14451661,986405,977725,1052453,606488,405890,197543,196014,566148,1045308,1011938,1025580,926806,925514,868174,875056,327497,463403,278765,375610,504971,344792,238527,251054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Vermont",2018,626299,308118,15078,15360,17916,10587,12038,5805,4829,11081,19470,17977,18527,15958,19156,20925,23285,9149,14201,8556,11395,16750,10136,5704,4235,318181,13732,16659,16022,10173,9431,5866,4251,11647,19181,18430,18346,17282,19241,21373,23764,10126,15558,10384,12793,15877,11693,7438,8914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Utah",2018,3161105,1592457,128310,134230,137167,78846,47924,24574,28761,81848,125707,110378,116715,106857,86769,73439,76145,28527,42192,24653,34693,42517,28398,19922,13885,1568648,121884,122880,133785,74729,48674,20957,27598,77036,120142,107117,110497,103884,86403,72420,76280,31192,45941,26596,34744,49003,30756,24752,21378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Virginia",2018,8517685,4190738,259000,262188,276222,161071,123123,65440,61657,174628,301051,294866,284367,266438,273691,274380,279151,106588,142496,87777,121278,153157,101913,67364,52892,4326947,243102,252591,258192,157274,123199,58252,56655,163084,285283,288988,294494,269267,282522,285102,295157,113571,166370,98254,137836,181200,134064,87196,95294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Washington",2018,7535591,3766859,236309,239621,236029,134540,94868,46476,50960,150587,306960,288864,278088,233843,239463,229550,241423,92705,134218,85068,105069,147924,92848,54511,46935,3768732,221885,226866,232126,134563,88544,44822,44465,137867,280753,276792,261925,232472,233939,227969,246602,100499,145011,86349,119726,166645,109201,68590,81121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","West Virginia",2018,1805832,894657,47646,51327,53915,34730,24673,12828,14236,32648,54335,50000,54115,56763,57336,59574,60331,26378,39094,23776,37423,42509,29402,17955,13663,911175,46276,45876,53475,29980,23393,12136,10583,31329,54433,50234,52795,55130,57725,58474,67118,26771,38959,27287,39188,45107,35254,23096,26556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01","Alabama",2018,4887871,2369271,149436,151958,164696,97945,72354,38027,35913,87578,162850,148415,144980,141474,149523,153378,159550,65854,84370,52413,72211,102466,67149,39597,27134,2518600,139153,138411,156734,90772,71138,31749,29594,94949,169544,155167,150450,156576,160357,162915,173150,71993,97255,61506,83715,121085,85393,58886,58108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02","Alaska",2018,737438,382952,26424,26760,25225,14777,10021,6331,5314,16476,34127,28444,27350,21886,22497,24912,24338,10300,13453,9264,10947,10766,6407,3497,3436,354486,25749,25784,24522,14219,9497,3291,3969,13726,28489,26628,26132,21652,19990,21934,22962,9987,12272,7812,9304,11537,6267,4829,3934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"04","Arizona",2018,7171646,3565129,223034,221154,253378,141225,101362,51071,50657,153414,267053,240593,227771,219207,216254,206196,206349,87218,119793,78383,105337,156707,115406,71581,51986,3606517,210998,220459,235360,136391,98328,48466,50288,135757,245919,225763,224592,211048,217387,212625,224118,92976,136339,84276,123255,179998,131087,80334,80753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"05","Arkansas",2018,3013825,1476680,96447,97924,103438,59888,44653,26024,21773,56338,101526,93893,93338,88698,89899,91333,95719,39253,50414,30948,43739,63468,43307,24905,19755,1537145,91645,94599,100064,59955,43525,20772,18775,56066,102191,95327,96355,88662,93817,95294,100315,42158,56071,34486,53183,70984,53904,32583,36414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"06","California",2018,39557045,19673553,1243103,1219205,1364245,772813,531593,295364,269305,836285,1612531,1501726,1416652,1239771,1280158,1242099,1219182,467108,640896,381346,492810,656071,437938,281483,271869,19883492,1185390,1179689,1281851,739242,513822,258227,263844,787423,1504968,1415173,1347874,1260160,1289396,1256373,1265868,505604,682768,413221,569278,773735,538013,393862,457711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08","Colorado",2018,5695564,2864761,173224,175615,191778,108714,79834,38381,34605,121784,234275,230721,205643,197663,185641,171322,179928,71158,95147,59712,76344,103867,60278,37387,31740,2830803,162418,176530,172757,105702,74583,33918,33898,111536,213008,211652,201211,176871,182266,170989,182239,77433,105265,63639,84473,114383,71875,48491,55666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Delaware",2018,967171,467924,27611,25189,32406,17537,11902,6890,6119,17681,33116,30681,29862,24970,27916,31046,32955,13527,17537,11520,16439,21843,15495,8007,7675,499247,26724,26639,30004,17040,12866,6994,7673,14196,32930,30672,29537,28024,30011,33914,35771,13010,23465,13040,18896,26157,20882,9873,10929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","District of Columbia",2018,702455,334208,23932,16635,16752,7737,9543,5743,4653,14309,37841,38663,31250,20713,19663,18378,18244,6943,7979,5362,6061,9582,6185,3728,4312,368247,21558,16222,16634,7744,12544,5498,4800,17975,44589,42374,31912,21660,19382,18103,18625,6951,11280,6373,8041,13414,9976,6003,6589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09","Connecticut",2018,3572665,1740533,92409,96638,114247,70101,54254,27209,24700,69867,115967,113181,105163,103565,113219,125127,125468,50002,71544,36861,51028,72375,50634,27649,29325,1832132,88815,95241,109779,67836,50103,25815,25889,66366,107021,111722,108795,107050,121649,134647,135052,55678,75399,41278,57890,83628,61814,42294,58371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Florida",2018,21299325,10404676,575452,574561,639983,367696,266279,137972,136104,371233,718886,676814,659953,623142,663194,679659,691158,272392,384643,249068,348071,512565,394108,244461,217282,10894649,559940,553041,604609,352593,247456,123420,123495,363366,701093,661722,664960,638649,688433,710682,758132,316233,433596,281205,412869,600456,442414,312567,343718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Georgia",2018,10519475,5120290,330060,351342,381909,221453,158963,81911,73236,209451,373701,339025,343406,331320,348012,333636,325642,119379,164169,92178,131351,183599,114948,63807,47792,5399185,315428,331700,357109,214292,159669,73828,73942,207010,372712,356805,370147,356171,364958,349724,342221,142152,188564,113763,159762,216295,144732,93193,95008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Idaho",2018,1754208,882158,59181,62160,67024,41539,25176,10998,12499,37021,60911,55142,56975,52841,52475,50050,54579,17915,33206,21226,26655,34534,26038,13409,10604,872050,54512,61799,62923,36232,24065,12320,9891,33121,56719,55308,54284,55613,50229,48381,57414,20689,31575,20922,27721,37339,26686,15208,19099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Hawaii",2018,1420491,710702,43861,43516,43334,23704,16295,10120,8397,31884,54668,49361,47170,45351,43383,42663,43224,19414,25658,16762,23334,32035,18892,13563,14113,709789,43576,40918,41242,23104,14757,6615,8916,24663,48873,48123,47906,41114,42279,43065,43071,20197,28602,19166,25311,32764,22521,17046,25960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Illinois",2018,12741080,6266062,390783,384930,431268,257140,172181,86659,89582,252769,453675,438704,425515,395053,402713,404797,416020,169967,224570,127293,178370,227775,159021,90664,86613,6475018,368673,377307,406872,238829,167695,79513,78831,251672,444808,428330,421226,402596,412184,416360,439596,174993,244721,145421,191088,273382,196855,141111,172955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Indiana",2018,6691878,3295973,215131,220400,230073,136453,101273,48361,49406,139346,231089,208885,219831,191454,207508,208237,219488,87291,119210,73648,91639,122027,80929,49894,44400,3395905,202643,209755,221322,131280,90216,52936,44170,131220,226051,208221,215999,199189,209580,216425,228112,87886,132291,76346,108327,141712,108085,71962,82177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Iowa",2018,3156145,1564888,101085,100084,110975,64630,51260,24276,22075,64502,103226,97755,105900,87416,91233,94243,103644,41576,61493,36271,45881,61724,42270,28006,25363,1591257,96798,97370,104247,58200,46569,23391,21679,64212,99189,94337,103451,86850,90664,93256,110013,40673,62055,38261,50410,66786,52680,39913,50253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Kansas",2018,2911510,1449745,95765,97167,105357,60667,45423,22256,23108,64058,100677,91526,95994,87382,85807,84317,95609,36554,50958,31919,44030,50848,33022,23743,23558,1461765,91225,93308,103338,58324,40501,21961,18858,58768,92364,91855,90462,85609,83199,86360,94316,38951,57295,36392,44932,55929,45536,32054,40228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Kentucky",2018,4468402,2199021,139724,145957,144007,88287,61513,35014,32389,88240,156233,133718,141389,136362,142164,141164,150774,57928,80766,49750,67097,87183,56295,36099,26968,2269381,133765,134021,141826,80194,58950,34725,30197,80179,152346,137223,139490,135866,143386,148659,153937,64292,92325,53637,74026,103772,71077,53808,51680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
